event_id,horizon,severity_return_component,severity_mfe_component,severity_efficiency_component,severity_score
F026,30,-1.1031653759476414,-0.5085238536851152,-1.1079276816046397,-0.9065389704124653
F008,30,-1.1628764399711673,-0.7793148861899033,-1.2440937328344075,-1.0620950196651593
F025,30,-1.0071115796417152,-0.5740406853150445,-1.1613732555302156,-0.9141751734956584
F027,30,-0.9741814008395252,-0.7104944814932318,-1.1366020310127338,-0.9404259711151637
M08,30,0.8892034325942789,0.4539203648767449,0.9285235139640864,0.7572157704783701
F018,30,1.481149495577649,1.9299750850233652,0.8830790798048744,1.4314012201352961
F016,30,1.6492572281282598,1.656141209919363,0.847860421419743,1.3844196198224552
F017,30,1.9845171308389236,2.3123643704282126,0.9218392816110279,1.7395735942927215
F035,30,1.9533270917483196,2.4214439131873244,0.8394612079774814,1.7380774043043752
F036,30,1.9633505990429154,2.4659717176213563,0.8244823589477428,1.751268225204005
F012,30,1.5534954521278803,2.20618542474013,0.6030263789596573,1.4542357519425557
F020,30,-0.27042258338943564,-0.9576905659889654,-0.26462658756579654,-0.4975799123147325
