event_id,horizon,signed_close_return_atr,signed_close_return_pct,MFE_atr,MAE_atr,signed_efficiency,net_to_path_ratio,directional_persistence,longest_directional_run,time_to_MFE,time_to_MAE,path_length_atr,high_low_range_atr,number_of_sign_changes,number_of_local_pivots,reversal_after_MFE
F009,10,0.4966216216216196,0.007169682485489897,0.9695945945945932,-0.6858108108108143,0.16030534351144968,0.16030534351144968,0.6,3,2,3,3.097972972972974,1.6554054054054075,6,5,1
F009,20,-0.9459459459459472,-0.013656538067599876,0.9695945945945932,-2.7668918918918903,-0.1449275362318838,-0.1449275362318838,0.55,3,2,20,6.527027027027046,3.7364864864864833,13,12,1
F009,30,1.3243243243243235,0.019119153294639788,2.2939189189189166,-2.7668918918918903,0.1302325581395348,0.1302325581395348,0.5666666666666667,3,27,20,10.16891891891892,5.060810810810807,20,17,1
F009,60,-0.614864864864863,-0.008876749743939882,2.2939189189189166,-2.7668918918918903,-0.037356321839080366,-0.037356321839080366,0.5,3,27,20,16.459459459459453,5.060810810810807,34,31,1
F002,10,-3.3837638376383783,-0.046486870120652946,0.2324723247232504,-4.39114391143912,-0.6453201970443355,-0.6453201970443355,0.3,2,1,6,5.243542435424353,4.623616236162371,4,4,1
F002,20,-4.907749077490782,-0.06742370475514556,0.2324723247232504,-13.12177121771218,-0.29968454258675153,-0.29968454258675153,0.5,3,1,12,16.37638376383762,13.35424354243543,11,11,1
F002,30,-3.0221402214022124,-0.04151880766501061,0.2324723247232504,-13.12177121771218,-0.14426633785450066,-0.14426633785450066,0.5333333333333333,3,1,12,20.948339483394818,13.35424354243543,16,16,1
F002,60,-5.398523985239849,-0.07416607523065995,0.2324723247232504,-13.12177121771218,-0.14917915774446835,-0.14917915774446835,0.45,3,1,12,36.18819188191877,13.35424354243543,34,32,1
F001,10,-1.9731543624161159,-0.030578813250819143,0.8221476510067138,-10.265100671140958,-0.18181818181818235,-0.18181818181818235,0.6,3,3,7,10.852348993288604,11.087248322147673,5,4,1
F001,20,-1.9731543624161159,-0.030578813250819143,0.8221476510067138,-10.265100671140958,-0.134615384615385,-0.134615384615385,0.6,3,3,7,14.65771812080539,11.087248322147673,12,11,1
F001,30,-2.4194630872483214,-0.0374954495813614,0.8221476510067138,-10.265100671140958,-0.123058542413381,-0.123058542413381,0.5666666666666667,3,3,7,19.66107382550337,11.087248322147673,17,16,1
F001,60,-3.312080536912759,-0.05132872224244631,0.8221476510067138,-10.265100671140958,-0.10545998504113711,-0.10545998504113711,0.4666666666666667,3,3,7,31.406040268456373,11.087248322147673,34,31,1
F003,10,-2.6704067321178173,-0.04920405209840811,0.35343618513324515,-8.91444600280506,-0.2845188284518828,-0.2845188284518828,0.6,3,1,5,9.385694249649388,9.267882187938305,6,5,1
F003,20,-1.6690042075736262,-0.030752532561504894,0.35343618513324515,-8.91444600280506,-0.13343799058084702,-0.13343799058084702,0.6,3,1,5,12.507713884993006,9.267882187938305,12,11,1
F003,30,-2.9060308555399734,-0.053545586107091106,0.35343618513324515,-8.91444600280506,-0.17535545023696664,-0.17535545023696664,0.5333333333333333,3,1,5,16.572230014025273,9.267882187938305,17,16,1
F003,60,-3.082748948106596,-0.056801736613603444,0.35343618513324515,-8.91444600280506,-0.1192103264996205,-0.1192103264996205,0.4666666666666667,3,1,5,25.85974754558205,9.267882187938305,34,30,1
M01,10,2.6110124333925357,0.04415475189234643,3.705150976909407,-0.22380106571936356,0.47511312217194646,0.47511312217194646,0.6,2,4,1,5.495559502664281,3.92895204262877,4,4,1
M01,20,4.003552397868563,0.06770395290159799,4.301953818827705,-0.22380106571936356,0.4805970149253728,0.4805970149253728,0.6,3,20,1,8.330373001776207,4.5257548845470685,10,10,0
M01,30,2.635879218472469,0.04457527333894028,4.301953818827705,-0.22380106571936356,0.22268907563025217,0.22268907563025217,0.5,3,20,1,11.836589698046177,4.5257548845470685,15,15,1
M01,60,2.2877442273534605,0.03868797308662736,4.973357015985782,-0.22380106571936356,0.09787234042553174,0.09787234042553174,0.43333333333333335,3,46,1,23.374777975133227,5.197158081705146,33,33,1
M02,10,1.3709923664122161,0.06720550815746153,1.8961832061068726,-0.42137404580152465,0.5605493133583,0.5605493133583,0.6,2,4,1,2.445801526717571,2.317557251908397,6,6,1
M02,20,2.250381679389314,0.11031282742104473,2.5221374045801546,-0.42137404580152465,0.4257654534950891,0.4257654534950891,0.6,3,13,1,5.2854961832061145,2.943511450381679,12,12,1
M02,30,2.003053435114505,0.09818889387816193,3.7984732824427523,-0.42137404580152465,0.2468021068472534,0.2468021068472534,0.5666666666666667,4,27,1,8.116030534351154,4.219847328244277,17,17,1
M02,60,1.6610687022900774,0.08142493638676845,3.7984732824427523,-0.42137404580152465,0.11207251751133086,0.11207251751133086,0.5166666666666667,5,27,1,14.821374045801537,4.219847328244277,33,33,1
M03,10,1.1022326674500615,0.02923849007200529,1.8260869565217404,-0.9706227967097522,0.21967213114754136,0.21967213114754136,0.5,2,6,1,5.017626321974152,2.7967097532314926,7,6,0
M03,20,2.0399529964747365,0.05411302640192012,2.632197414806115,-0.9706227967097522,0.22752293577981655,0.22752293577981655,0.55,2,20,1,8.965922444183315,3.602820211515867,15,14,0
M03,30,3.076380728554643,0.08160593497708922,3.4629847238542895,-0.9706227967097522,0.2551159618008186,0.2551159618008186,0.6,3,29,1,12.0587544065805,4.433607520564042,22,21,0
M03,60,4.935370152761461,0.13091861226271,6.465334900117519,-0.9706227967097522,0.1930501930501933,0.1930501930501933,0.5666666666666667,5,40,1,25.565217391304333,7.435957696827271,36,35,1
