symbol,event_id,event_family,side,timestamp_utc,funding_rate,delta_log_oi,z_mad,funding_side,oi_side,qualification_reason
BTCUSDT,BTCUSDT-O048255,OI,OI_CONTRACTION_SHOCK,2024-11-14T15:45:00Z,,-0.01265490461,-6.536714271,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048257,OI,OI_EXPANSION_SHOCK,2024-11-14T16:15:00Z,,0.02197736446,11.15485304,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048258,OI,OI_EXPANSION_SHOCK,2024-11-14T16:30:00Z,,0.014497739,7.335714192,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048307,OI,OI_CONTRACTION_SHOCK,2024-11-15T04:45:00Z,,-0.007996224933,-4.163519643,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048344,OI,OI_CONTRACTION_SHOCK,2024-11-15T14:00:00Z,,-0.01175143183,-6.157655227,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048350,OI,OI_CONTRACTION_SHOCK,2024-11-15T15:30:00Z,,-0.008431159719,-4.415570734,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048368,OI,OI_CONTRACTION_SHOCK,2024-11-15T20:00:00Z,,-0.02148701846,-11.0875856,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048370,OI,OI_CONTRACTION_SHOCK,2024-11-15T20:30:00Z,,-0.007970111655,-4.147266752,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048433,OI,OI_CONTRACTION_SHOCK,2024-11-16T12:15:00Z,,-0.01211880762,-6.167087558,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048490,OI,OI_EXPANSION_SHOCK,2024-11-17T02:30:00Z,,0.007983970989,4.012259766,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048539,OI,OI_EXPANSION_SHOCK,2024-11-17T14:45:00Z,,0.01048707043,5.305463944,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048603,OI,OI_EXPANSION_SHOCK,2024-11-18T06:45:00Z,,0.009192219764,4.625068813,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048621,OI,OI_CONTRACTION_SHOCK,2024-11-18T11:15:00Z,,-0.01208575016,-6.164913507,,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
BTCUSDT,BTCUSDT-O048629,OI,OI_EXPANSION_SHOCK,2024-11-18T13:15:00Z,,0.0137317947,6.794388787,,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
