section,episode_view,symbol,event_family,side,scale,representation,field,metric,value,event_n,control_n,note
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_range_atr,mean_event_minus_control,0.5426574966,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_range_atr,mean_event_minus_control,0.9451536797,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,FIXED_8,w32_range_atr,equal_symbol_mean_contrast,1.056015081,4,,same_sign=4; max_abs_share=0.386071
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,displacement_atr,mean_event_minus_control,0.5148045674,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,displacement_atr,mean_event_minus_control,-0.07082818481,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,displacement_atr,mean_event_minus_control,-0.1062173773,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,displacement_atr,mean_event_minus_control,0.4329743028,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,displacement_atr,equal_symbol_mean_contrast,0.192683327,4,,same_sign=2; max_abs_share=0.457675
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,range_atr,mean_event_minus_control,0.499699207,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,range_atr,mean_event_minus_control,-0.01806276059,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,range_atr,mean_event_minus_control,-0.07882912283,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,range_atr,mean_event_minus_control,0.3674278534,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,range_atr,equal_symbol_mean_contrast,0.1925587942,4,,same_sign=2; max_abs_share=0.518350
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,efficiency,mean_event_minus_control,0.07512150165,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,efficiency,mean_event_minus_control,-0.01913501339,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,efficiency,mean_event_minus_control,-0.05174982948,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,efficiency,mean_event_minus_control,0.04188254647,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,efficiency,equal_symbol_mean_contrast,0.01152980131,4,,same_sign=2; max_abs_share=0.399819
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,close_location,mean_event_minus_control,0.2442015089,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,close_location,mean_event_minus_control,-0.1028988623,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,close_location,mean_event_minus_control,-0.117439429,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,close_location,mean_event_minus_control,0.05893497668,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,close_location,equal_symbol_mean_contrast,0.02069954856,4,,same_sign=2; max_abs_share=0.466501
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,0.2393230782,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,-0.01253194878,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,-0.1590630374,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,recent_slope_atr,mean_event_minus_control,0.05692252577,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,recent_slope_atr,equal_symbol_mean_contrast,0.03116265445,4,,same_sign=2; max_abs_share=0.511548
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,age_bars,mean_event_minus_control,0.5,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,age_bars,mean_event_minus_control,-0.8,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,age_bars,mean_event_minus_control,0.1041666667,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,age_bars,mean_event_minus_control,0.8166666667,60,60,invalid_or_unmatched=372; total=432
transfer_view,8H,POOLED_EQUAL_SYMBOL,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,age_bars,equal_symbol_mean_contrast,0.1552083333,4,,same_sign=3; max_abs_share=0.367730
event_control,8H,BTCUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,0.5,4,4,invalid_or_unmatched=356; total=360
event_control,8H,ETHUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,-0.8,10,10,invalid_or_unmatched=319; total=329
event_control,8H,SOLUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,0.1041666667,48,48,invalid_or_unmatched=293; total=341
event_control,8H,XRPUSDT,FUNDING,FUNDING_HIGH,15m,DIRECTION_RUN,origin_disagreement_bars,mean_event_minus_control,0.8166666667,60,60,invalid_or_unmatched=372; total=432
