trade_key,scope,block,phase,direction,bars_EXIT_R0,bars_EXIT_R2,bars_EXIT_R5,exit_price_EXIT_R0,exit_price_EXIT_R2,exit_price_EXIT_R5,exit_reason_EXIT_R0,exit_reason_EXIT_R2,exit_reason_EXIT_R5,exit_time_EXIT_R0,exit_time_EXIT_R2,exit_time_EXIT_R5,mae_atr_EXIT_R0,mae_atr_EXIT_R2,mae_atr_EXIT_R5,mfe_atr_EXIT_R0,mfe_atr_EXIT_R2,mfe_atr_EXIT_R5,mfe_capture_EXIT_R0,mfe_capture_EXIT_R2,mfe_capture_EXIT_R5,net_return_EXIT_R0,net_return_EXIT_R2,net_return_EXIT_R5,EXIT_R2_return_diff_vs_R0,EXIT_R2_capture_diff_vs_R0,EXIT_R2_better_than_R0,EXIT_R5_return_diff_vs_R0,EXIT_R5_capture_diff_vs_R0,EXIT_R5_better_than_R0
EA_0027,DEVELOPMENT,2024-Q1,NO_MOVEMENT_MFE_LT_1_ATR,LONG,3.0,3.0,3.0,0.5929034,0.5929034,0.5929034,STOP_A,STOP_A,STOP_A,2024-02-21 04:00:00,2024-02-21 04:00:00,2024-02-21 04:00:00,-1.551053966975429,-1.551053966975429,-1.551053966975429,0.6930056383407246,0.6930056383407246,0.6930056383407246,-2.0751569244037,-2.0751569244037,-2.0751569244037,-0.04324397920761337,-0.04324397920761337,-0.04324397920761337,0.0,0.0,False,0.0,0.0,False
EA_0028,DEVELOPMENT,2024-Q1,NO_MOVEMENT_MFE_LT_1_ATR,LONG,1.0,1.0,1.0,0.7265365500000001,0.7265365500000001,0.7265365500000001,STOP_A,STOP_A,STOP_A,2024-03-08 12:00:00,2024-03-08 12:00:00,2024-03-08 12:00:00,-1.5921411589895995,-1.5921411589895995,-1.5921411589895995,0.28007280832095255,0.28007280832095255,0.28007280832095255,-1.53477179039624,-1.53477179039624,-1.53477179039624,-0.016021095358634253,-0.016021095358634253,-0.016021095358634253,0.0,0.0,False,0.0,0.0,False
EA_0029,DEVELOPMENT,2024-Q1,NO_MOVEMENT_MFE_LT_1_ATR,SHORT,4.0,4.0,4.0,0.64021995,0.64021995,0.64021995,STOP_A,STOP_A,STOP_A,2024-03-24 08:00:00,2024-03-24 08:00:00,2024-03-24 08:00:00,-0.688872611464966,-0.688872611464966,-0.688872611464966,0.48310191082802517,0.48310191082802517,0.48310191082802517,-1.309906786029764,-1.309906786029764,-1.309906786029764,-0.0177631146686568,-0.0177631146686568,-0.0177631146686568,0.0,0.0,False,0.0,0.0,False
EA_0030,DEVELOPMENT,2024-Q2,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,38.0,2.0,2.0,0.59079525,0.63161565,0.63161565,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-04-07 08:00:00,2024-04-01 08:00:00,2024-04-01 08:00:00,-0.21405820105819115,-0.21405820105819115,-0.21405820105819115,9.246259259259247,3.22509523809524,3.22509523809524,0.6246701797895682,0.45153500245265926,0.45153500245265926,0.08257364813737218,0.019323190633569985,0.019323190633569985,-0.0632504575038022,-0.17313517733690892,False,-0.0632504575038022,-0.17313517733690892,False
EA_0031,DEVELOPMENT,2024-Q2,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,50.0,9.0,13.0,0.47143559999999995,0.482241,0.5098548,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-04-19 16:00:00,2024-04-12 20:00:00,2024-04-13 12:00:00,-0.7510771812080519,-0.7510771812080519,-0.7510771812080519,12.678453020134219,9.987177852348987,9.987177852348987,0.5842674473602233,0.6690992040465309,0.4835337525061493,0.18770720543229877,0.16913512949568757,0.12167315765768116,-0.0185720759366112,0.0848317566863076,False,-0.0660340477746176,-0.10073369485407402,False
EA_0032,DEVELOPMENT,2024-Q2,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,45.0,4.0,8.0,0.47143559999999995,0.482241,0.5098548,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-04-19 16:00:00,2024-04-12 20:00:00,2024-04-13 12:00:00,-0.6393593200468948,-0.6393593200468948,-0.6393593200468948,15.502492966002334,12.211754396248528,12.211754396248528,0.5842674473602233,0.6690992040465309,0.4835337525061493,0.18770720543229877,0.16913512949568757,0.12167315765768116,-0.0185720759366112,0.0848317566863076,False,-0.0660340477746176,-0.10073369485407402,False
EA_0033,DEVELOPMENT,2024-Q2,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,26.0,8.0,8.0,0.45742859999999996,0.45712844999999996,0.45712844999999996,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-05-02 16:00:00,2024-04-29 16:00:00,2024-04-29 16:00:00,-0.5352867383512516,-0.5352867383512516,-0.5352867383512516,4.93424731182796,2.1543189964157787,2.1543189964157787,0.20008949228383457,0.47226693064694814,0.47226693064694814,0.019053628418487505,0.01969598168068009,0.01969598168068009,0.0006423532621925854,0.2721774383631136,True,0.0006423532621925854,0.2721774383631136,True
EA_0034,DEVELOPMENT,2024-Q2,NO_MOVEMENT_MFE_LT_1_ATR,SHORT,6.0,8.0,6.0,0.46002989999999994,0.4688343,0.46002989999999994,EMA27_TWO_CLOSES,STOP_A,EMA27_HYSTERESIS,2024-05-09 20:00:00,2024-05-10 04:00:00,2024-05-09 20:00:00,-1.221056005398105,-1.6367105263157846,-1.221056005398105,0.43211538461538945,0.43211538461538945,0.43211538461538945,-1.9141170683718167,-3.838891621577246,-1.9141170683718167,-0.021402059833903427,-0.04091214710345192,-0.021402059833903427,-0.01951008726954849,-1.9247745532054292,False,0.0,0.0,False
EA_0035,DEVELOPMENT,2024-Q2,STRONG_MOVEMENT_MFE_GE_2_ATR,SHORT,14.0,5.0,5.0,0.4520259,0.43731855,0.43731855,EMA27_TWO_CLOSES,ATR_GIVEBACK,MFE_50_GIVEBACK,2024-05-15 20:00:00,2024-05-14 08:00:00,2024-05-14 08:00:00,-1.026706552706545,-0.6145508072174684,-0.6145508072174684,2.5098556505223186,2.2439487179487196,2.2439487179487196,-0.4051446945337577,0.4182530795072817,0.4182530795072817,-0.019211034667130998,0.013885473100923086,0.013885473100923086,0.03309650776805408,0.8233977740410394,True,0.03309650776805408,0.8233977740410394,True
EA_0036,DEVELOPMENT,2024-Q2,NO_MOVEMENT_MFE_LT_1_ATR,LONG,6.0,6.0,6.0,0.4745626,0.4745626,0.4745626,STOP_A,STOP_A,STOP_A,2024-05-23 12:00:00,2024-05-23 12:00:00,2024-05-23 12:00:00,-2.809386990801582,-2.809386990801582,-2.809386990801582,0.428457950065706,0.428457950065706,0.428457950065706,-2.0995180283171613,-2.0995180283171613,-2.0995180283171613,-0.022191205781120944,-0.022191205781120944,-0.022191205781120944,0.0,0.0,False,0.0,0.0,False
