event,interval,request_or_path,attempt,status,detail,rows,retrieval_time_utc
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711206000000&limit=1000,1,OK,,1000,2026-07-18T20:22:38Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1711026000000&limit=1000,1,OK,,1000,2026-07-18T20:22:39Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1710846000000&limit=1000,1,OK,,1000,2026-07-18T20:22:39Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1710666000000&limit=1000,1,OK,,1000,2026-07-18T20:22:39Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1710486000000&limit=1000,1,OK,,1000,2026-07-18T20:22:39Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1710306000000&limit=1000,1,OK,,1000,2026-07-18T20:22:40Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1710126000000&limit=1000,1,OK,,1000,2026-07-18T20:22:40Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709946000000&limit=1000,1,OK,,1000,2026-07-18T20:22:40Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709766000000&limit=1000,1,OK,,1000,2026-07-18T20:22:41Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709586000000&limit=1000,1,OK,,1000,2026-07-18T20:22:41Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709406000000&limit=1000,1,OK,,1000,2026-07-18T20:22:41Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709226000000&limit=1000,1,OK,,1000,2026-07-18T20:22:41Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1709046000000&limit=1000,1,OK,,1000,2026-07-18T20:22:41Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1708866000000&limit=1000,1,OK,,1000,2026-07-18T20:22:42Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1708686000000&limit=1000,1,OK,,1000,2026-07-18T20:22:42Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1708506000000&limit=1000,1,OK,,1000,2026-07-18T20:22:42Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1708326000000&limit=1000,1,OK,,1000,2026-07-18T20:22:42Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1708146000000&limit=1000,1,OK,,1000,2026-07-18T20:22:42Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707966000000&limit=1000,1,OK,,1000,2026-07-18T20:22:43Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707786000000&limit=1000,1,OK,,1000,2026-07-18T20:22:43Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707606000000&limit=1000,1,OK,,1000,2026-07-18T20:22:44Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707426000000&limit=1000,1,OK,,1000,2026-07-18T20:22:44Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707246000000&limit=1000,1,OK,,1000,2026-07-18T20:22:44Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1707066000000&limit=1000,1,OK,,1000,2026-07-18T20:22:45Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1706886000000&limit=1000,1,OK,,1000,2026-07-18T20:22:45Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1706706000000&limit=1000,1,OK,,1000,2026-07-18T20:22:45Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1706526000000&limit=1000,1,OK,,1000,2026-07-18T20:22:45Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1706346000000&limit=1000,1,OK,,1000,2026-07-18T20:22:46Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1706166000000&limit=1000,1,OK,,1000,2026-07-18T20:22:46Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705986000000&limit=1000,1,OK,,1000,2026-07-18T20:22:46Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705806000000&limit=1000,1,OK,,1000,2026-07-18T20:22:46Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705626000000&limit=1000,1,OK,,1000,2026-07-18T20:22:47Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705446000000&limit=1000,1,OK,,1000,2026-07-18T20:22:47Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705266000000&limit=1000,1,OK,,1000,2026-07-18T20:22:47Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1705086000000&limit=1000,1,OK,,1000,2026-07-18T20:22:48Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704906000000&limit=1000,1,OK,,1000,2026-07-18T20:22:48Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704726000000&limit=1000,1,OK,,1000,2026-07-18T20:22:48Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704546000000&limit=1000,1,OK,,1000,2026-07-18T20:22:49Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704366000000&limit=1000,1,OK,,1000,2026-07-18T20:22:49Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704186000000&limit=1000,1,OK,,1000,2026-07-18T20:22:49Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1704006000000&limit=1000,1,OK,,1000,2026-07-18T20:22:49Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1703826000000&limit=1000,1,OK,,1000,2026-07-18T20:22:50Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1703646000000&limit=1000,1,OK,,1000,2026-07-18T20:22:50Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1703466000000&limit=1000,1,OK,,1000,2026-07-18T20:22:50Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1703286000000&limit=1000,1,OK,,1000,2026-07-18T20:22:50Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1703106000000&limit=1000,1,OK,,1000,2026-07-18T20:22:51Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702926000000&limit=1000,1,OK,,1000,2026-07-18T20:22:51Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702746000000&limit=1000,1,OK,,1000,2026-07-18T20:22:51Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702566000000&limit=1000,1,OK,,1000,2026-07-18T20:22:52Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702386000000&limit=1000,1,OK,,1000,2026-07-18T20:22:53Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702206000000&limit=1000,1,OK,,1000,2026-07-18T20:22:53Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1702026000000&limit=1000,1,OK,,1000,2026-07-18T20:22:54Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1701846000000&limit=1000,1,OK,,1000,2026-07-18T20:22:54Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1701666000000&limit=1000,1,OK,,1000,2026-07-18T20:22:55Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1701486000000&limit=1000,1,OK,,1000,2026-07-18T20:22:55Z
API,3,category=linear&symbol=ADAUSDT&interval=3&start=1688169600000&end=1701306000000&limit=1000,1,OK,,1000,2026-07-18T20:22:56Z
