representation,field,quartile,chronological_third,parent_direction,support_count,paired_rank_contrast,chronological_thirds_exhaustive
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,1,UP,14,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,1,DOWN,23,0.9130434782608695,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,2,UP,16,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,2,DOWN,20,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,3,UP,15,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,3,3,DOWN,17,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,1,UP,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,1,DOWN,18,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,2,UP,10,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,2,DOWN,19,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,3,UP,24,1.0,1
CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,4,3,DOWN,17,1.0,1
