representation,field,quartile,definition,support_count,rate_per_1000_parent_bars,support_inside_boundary,support_outside_boundary,valid_support,invalid_support,cap_hit_rate,sample_collapse_flag,concentration_flag,direction_imbalance_flag,up_contrast,down_contrast,third_1_contrast,third_2_contrast,third_3_contrast,equal_support_fixed_contrast,equal_support_contrast_difference,source_median,source_mean,control_median,control_mean,paired_rank_contrast,fraction_above_control,distribution_overlap
DIRECTION_RUN,efficiency,4,deterministic full-source quartile,107,32.42424242424242,98,9,425,0,0.0,NO,NO,NO,1.0,0.96875,0.9444444444444444,1.0,1.0,0.9813084112149533,0.0,0.802171,0.910577205607477,-0.1819255759007755,-0.22727300955169244,0.9813084112149533,0.9906542056074766,0.4071728321314741
DIRECTION_RUN,distance_to_boundary_atr,1,deterministic full-source quartile,106,32.121212121212125,90,16,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.770598,0.984213603773585,-0.08654809925437329,-0.11747589254987355,1.0,1.0,0.3941949395033774
DIRECTION_RUN,distance_to_boundary_atr,2,deterministic full-source quartile,106,32.121212121212125,88,18,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.757083,0.8854144528301883,-0.15083553210202336,-0.15896798224670539,1.0,1.0,0.4066324759045847
DIRECTION_RUN,distance_to_boundary_atr,3,deterministic full-source quartile,106,32.121212121212125,92,14,425,0,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.745342,0.8678163301886792,-0.15083553210202336,-0.1782928469754274,1.0,1.0,0.38709048457077533
DIRECTION_RUN,distance_to_boundary_atr,4,deterministic full-source quartile,107,32.42424242424242,99,8,425,0,0.0,NO,NO,NO,1.0,0.9672131147540983,0.9354838709677419,1.0,1.0,0.9813084112149533,0.0,0.759124,0.9119288691588788,-0.1938232161874289,-0.23375316615280298,0.9813084112149533,0.9906542056074766,0.4201579939149038
ATR_ORIGIN,age_bars,1,deterministic full-source quartile,70,21.21212121212121,64,6,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9523809523809523,0.8947368421052632,1.0,1.0,1.0,-0.02857142857142858,0.82125,0.9441825285714287,-0.24546983214392293,-0.28945078320246004,0.9714285714285714,0.9857142857142858,0.4209929043665163
ATR_ORIGIN,age_bars,2,deterministic full-source quartile,103,31.21212121212121,95,8,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.724919,0.8812614271844659,-0.10396039603961192,-0.1247166291895811,1.0,1.0,0.3885611959605441
ATR_ORIGIN,age_bars,3,deterministic full-source quartile,114,34.54545454545455,101,13,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9824561403508771,0.01754385964912286,0.733202,0.9403350789473686,-0.07864686468647217,-0.11835338716090991,1.0,1.0,0.395905622309972
ATR_ORIGIN,age_bars,4,deterministic full-source quartile,104,31.515151515151516,86,18,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7727895,0.9209476249999994,-0.17150225660864066,-0.22149502593838438,1.0,1.0,0.420160872793448
ATR_ORIGIN,displacement_atr,1,deterministic full-source quartile,97,29.393939393939394,84,13,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.761329,1.016130154639175,-0.1938232161874289,-0.23964672751355454,1.0,1.0,0.36416947068192146
ATR_ORIGIN,displacement_atr,2,deterministic full-source quartile,98,29.696969696969695,82,16,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7346945,0.8641882040816332,-0.15083553210202336,-0.15745940410392903,1.0,1.0,0.4210931644232727
ATR_ORIGIN,displacement_atr,3,deterministic full-source quartile,97,29.393939393939394,87,10,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.752688,0.8843654329896905,-0.17150225660864066,-0.20223711505415565,1.0,1.0,0.46644435936704215
ATR_ORIGIN,displacement_atr,4,deterministic full-source quartile,99,30.0,93,6,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9629629629629629,0.9534883720930233,1.0,1.0,1.0,-0.02020202020202022,0.802051,0.9171812121212116,-0.10396039603961192,-0.11455941548870523,0.9797979797979798,0.98989898989899,0.36853137954765014
ATR_ORIGIN,efficiency,1,deterministic full-source quartile,97,29.393939393939394,80,17,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.819912,0.9719738247422677,-0.1819255759007755,-0.20651291146338424,1.0,1.0,0.40142494080379476
ATR_ORIGIN,efficiency,2,deterministic full-source quartile,98,29.696969696969695,84,14,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7094134999999999,0.9035110102040816,-0.15083553210202336,-0.13027708827540474,1.0,1.0,0.4006287112586688
ATR_ORIGIN,efficiency,3,deterministic full-source quartile,97,29.393939393939394,90,7,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.751557,0.86079612371134,-0.1325757575757576,-0.16974444295098967,1.0,1.0,0.3932415367392568
ATR_ORIGIN,efficiency,4,deterministic full-source quartile,99,30.0,92,7,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9655172413793104,0.9354838709677419,1.0,1.0,1.0,-0.02020202020202022,0.781311,0.944613050505051,-0.15083553210202336,-0.20576786298435185,0.9797979797979798,0.98989898989899,0.4240102644285051
ATR_ORIGIN,distance_to_boundary_atr,1,deterministic full-source quartile,97,29.393939393939394,76,21,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.730345,0.9505918041237111,-0.18601964182553177,-0.19754959897907332,1.0,1.0,0.39947767139817075
ATR_ORIGIN,distance_to_boundary_atr,2,deterministic full-source quartile,98,29.696969696969695,82,16,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.713503,0.8702726122448983,-0.04463842533162429,-0.19043752849101014,1.0,1.0,0.4088074710578311
ATR_ORIGIN,distance_to_boundary_atr,3,deterministic full-source quartile,97,29.393939393939394,93,4,391,34,0.002352941176470588,NO,NO,NO,1.0,0.9629629629629629,0.9473684210526315,1.0,1.0,1.0,-0.020618556701030966,0.790795,0.943445639175258,-0.15083553210202336,-0.1516266022113483,0.979381443298969,0.9896907216494846,0.39966098491922636
ATR_ORIGIN,distance_to_boundary_atr,4,deterministic full-source quartile,99,30.0,95,4,391,34,0.002352941176470588,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.804178,0.9174859393939393,-0.15083553210202336,-0.17274916320247355,1.0,1.0,0.41153228663628894
CONFIRMED_DIRECTION_CHANGE,age_bars,1,deterministic full-source quartile,71,21.515151515151516,52,19,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.724541,0.8823250985915492,-0.1819255759007755,-0.2400605701808778,1.0,1.0,0.40421975208884653
CONFIRMED_DIRECTION_CHANGE,age_bars,2,deterministic full-source quartile,138,41.81818181818182,127,11,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9855072463768116,0.01449275362318836,0.7417560000000001,0.8662014202898549,-0.17150225660864066,-0.21512272429816423,1.0,1.0,0.4476200987658992
CONFIRMED_DIRECTION_CHANGE,age_bars,3,deterministic full-source quartile,101,30.606060606060606,86,15,423,2,0.0,NO,NO,NO,1.0,0.9607843137254902,0.9354838709677419,1.0,1.0,1.0,-0.01980198019801982,0.739481,0.91156399009901,-0.05333333333333242,-0.09806955519872115,0.9801980198019802,0.9900990099009901,0.3941652042889295
CONFIRMED_DIRECTION_CHANGE,age_bars,4,deterministic full-source quartile,113,34.24242424242424,102,11,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,0.9823008849557522,0.017699115044247815,0.855072,0.9852950265486725,-0.15083553210202336,-0.1476319876368475,1.0,1.0,0.35545884485851537
CONFIRMED_DIRECTION_CHANGE,displacement_atr,1,deterministic full-source quartile,105,31.818181818181817,78,27,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.707071,0.8396285238095237,-0.15083553210202336,-0.12655525554405628,1.0,1.0,0.41191138905212915
CONFIRMED_DIRECTION_CHANGE,displacement_atr,2,deterministic full-source quartile,106,32.121212121212125,90,16,423,2,0.0,NO,NO,NO,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.7445065,0.9075953018867924,-0.1938232161874289,-0.27045599903781203,1.0,1.0,0.42939137455881893
