trade_id,combo_id,scope,ref_time,ref_idx,ref_open,ref_close,ref_mid,ref_body_low,ref_body_high
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-18 00:00:00,1392,0.6102,0.6216,0.6159,0.6102,0.6216
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 04:00:00,1399,0.6198,0.6299,0.62485,0.6198,0.6299
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 04:00:00,1399,0.6198,0.6299,0.62485,0.6198,0.6299
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 04:00:00,1399,0.6198,0.6299,0.62485,0.6198,0.6299
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 04:00:00,1399,0.6198,0.6299,0.62485,0.6198,0.6299
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 20:00:00,1403,0.6222,0.6316,0.6269,0.6222,0.6316
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 20:00:00,1403,0.6222,0.6316,0.6269,0.6222,0.6316
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 20:00:00,1403,0.6222,0.6316,0.6269,0.6222,0.6316
ENTRY_A_STOP_A_EXIT_A_TRAIN_0026,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-02-19 20:00:00,1403,0.6222,0.6316,0.6269,0.6222,0.6316
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-01 12:00:00,1653,0.6279,0.6094,0.61865,0.6094,0.6279
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-01 12:00:00,1653,0.6279,0.6094,0.61865,0.6094,0.6279
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-02 00:00:00,1656,0.6218,0.5962,0.609,0.5962,0.6218
ENTRY_A_STOP_A_EXIT_A_TRAIN_0030,ENTRY_A_STOP_A_EXIT_A,TRAIN,2024-04-03 20:00:00,1667,0.5773,0.5698,0.57355,0.5698,0.5773
