scope,exit_variant,cost_mult,trades,long_trades,short_trades,win_rate,average_trade,median_trade,profit_factor,total_return,max_drawdown,avg_bars_held,median_bars_held,avg_mfe_atr,avg_mae_atr,realized_profit_to_mfe,median_mfe_capture,mean_mfe_capture,giveback_from_mfe_atr,good_entry_bad_exit_share,early_exit_share,late_exit_share,stop_exit_share,ema_exit_share,giveback_exit_share,break_even_exit_share,long_total_return,short_total_return
EXIT_VALIDATION,EXIT_R1,3.0,12,7,5,0.08333333333333333,0.01954128408657196,-0.004001249999999904,2.0341587526571,0.15803708594857735,-0.1193143054907625,23.166666666666668,4.0,2.708357913342763,-0.9129172310234809,-1.0673220589329042,0.037441110520303335,-1.0673220589329042,2.4688957193320245,0.08333333333333333,0.0,0.0,0.9166666666666666,0.0,0.0,0.5833333333333334,0.25299579260830063,-0.07578533560919021
EXIT_VALIDATION,EXIT_R2,1.0,12,7,5,0.5833333333333334,0.003478776386871517,0.0018051186458155131,1.2116757526472266,0.030705510813880732,-0.10466995243610056,7.75,7.0,1.5859956545613028,-0.8973165539597384,-0.958950218592542,0.11353008944406334,-0.958950218592542,1.5694749632750142,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,0.5833333333333334,0.0,0.03743290922684195,-0.0064846587698618174
EXIT_VALIDATION,EXIT_R2,2.0,12,7,5,0.5,0.0014787763868715175,-0.0001948813541844869,1.0854519210532632,0.006276762821721293,-0.10845102225870851,7.75,7.0,1.5859956545613028,-0.8973165539597384,-0.958950218592542,0.11353008944406334,-0.958950218592542,1.5694749632750142,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,0.5833333333333334,0.0,0.023054059729736176,-0.01639922812333794
EXIT_VALIDATION,EXIT_R2,3.0,12,7,5,0.4166666666666667,-0.000521223613128482,-0.002194881354184487,0.9717753105193785,-0.017620286003866004,-0.11222409208131645,7.75,7.0,1.5859956545613028,-0.8973165539597384,-0.958950218592542,0.11353008944406334,-0.958950218592542,1.5694749632750142,0.0,0.0,0.08333333333333333,0.4166666666666667,0.0,0.5833333333333334,0.0,0.008846304360952795,-0.02623451188789727
EXIT_VALIDATION,EXIT_R3,1.0,12,7,5,0.6666666666666666,0.011609337557618622,0.0024692190279546546,1.762304584244575,0.12498377181511544,-0.10466995243610056,8.166666666666666,7.0,1.7589986943379434,-0.8664342010185622,-0.9002855763292296,0.16580312545202047,-0.9002855763292296,1.5680227564698759,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.10627891318491356,0.016907904875771207
EXIT_VALIDATION,EXIT_R3,2.0,12,7,5,0.5833333333333334,0.00960933755761862,0.00046921902795465454,1.6030901901175751,0.09849378212559379,-0.1084510222587084,8.166666666666666,7.0,1.7589986943379434,-0.8664342010185622,-0.9002855763292296,0.16580312545202047,-0.9002855763292296,1.5680227564698759,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0910670591340359,0.006806843749322056
EXIT_VALIDATION,EXIT_R3,3.0,12,7,5,0.4166666666666667,0.007609337557618619,-0.0015307809720453455,1.4470305408529107,0.07257653663125851,-0.11222409208131645,8.166666666666666,7.0,1.7589986943379434,-0.8664342010185622,-0.9002855763292296,0.16580312545202047,-0.9002855763292296,1.5680227564698759,0.0,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.07603471319180466,-0.00321381505461682
EXIT_VALIDATION,EXIT_R4,1.0,12,7,5,0.5,0.13158504595065018,-0.004713547872711324,13.386609786116937,2.451289340878713,-0.06559409641178204,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.36397297731808,0.02595632133473491
EXIT_VALIDATION,EXIT_R4,2.0,12,7,5,0.4166666666666667,0.12958504595065018,-0.006713547872711324,12.059267899266349,2.3760690878201345,-0.06945692671266634,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.3236120600293604,0.015783137996649765
EXIT_VALIDATION,EXIT_R4,3.0,12,7,5,0.4166666666666667,0.1275850459506502,-0.008713547872711324,10.902601659057881,2.3023506192036836,-0.07331175701355075,30.416666666666668,15.0,5.545808622576456,-0.8262449065288364,-0.3252174693857242,-0.007923894906238842,-0.3252174693857242,2.7612709418986934,0.08333333333333333,0.0,0.08333333333333333,0.25,0.75,0.0,0.0,2.283663976960127,0.005690790036578575
EXIT_VALIDATION,EXIT_R5,1.0,12,7,5,0.6666666666666666,0.018278728226810422,0.0024692190279546546,3.1353971130836715,0.2227469093451353,-0.06559409641178204,7.583333333333333,6.5,1.7589986943379434,-0.6685121297825117,-0.3171281875940961,0.16580312545202047,-0.3171281875940961,1.3817787093817955,0.0,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.0,0.1640443393415465,0.05042984018701091
EXIT_VALIDATION,EXIT_R5,2.0,12,7,5,0.5833333333333334,0.01627872822681042,0.00046921902795465454,2.757182218660754,0.19416256965057088,-0.06945692671266634,7.583333333333333,6.5,1.7589986943379434,-0.6685121297825117,-0.3171281875940961,0.16580312545202047,-0.3171281875940961,1.3817787093817955,0.0,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.0,0.1481600109828003,0.04006633067493248
EXIT_VALIDATION,EXIT_R5,3.0,12,7,5,0.4166666666666667,0.01427872822681042,-0.0015307809720453455,2.379244409674119,0.16619183086129552,-0.07331175701355075,7.583333333333333,6.5,1.7589986943379434,-0.6685121297825117,-0.3171281875940961,0.16580312545202047,-0.3171281875940961,1.3817787093817955,0.0,0.0,0.0,0.08333333333333333,0.25,0.6666666666666666,0.0,0.13246172190131955,0.02978476738564373
REUSED_TEMPORAL_TEST,EXIT_R0,1.0,21,7,14,0.2857142857142857,-0.005297631191775726,-0.01260743181939387,0.7141022735295103,-0.12158847208019374,-0.178257185430999,11.047619047619047,6.0,1.8216995048240354,-1.2413820634811046,-3.9775588575136283,-0.7439920184573091,-3.9775588575136283,2.1022227812207848,0.09523809523809523,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,-0.09121356611391052,-0.03342359088305935
REUSED_TEMPORAL_TEST,EXIT_R0,2.0,21,7,14,0.2857142857142857,-0.007297631191775723,-0.01460743181939387,0.6343576056857033,-0.15800211634688044,-0.190018090896382,11.047619047619047,6.0,1.8216995048240354,-1.2413820634811046,-3.9775588575136283,-0.7439920184573091,-3.9775588575136283,2.1022227812207848,0.09523809523809523,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,-0.10404502379890479,-0.06022299555359045
REUSED_TEMPORAL_TEST,EXIT_R0,3.0,21,7,14,0.2857142857142857,-0.009297631191775723,-0.01660743181939387,0.5652662499695028,-0.19297540713848194,-0.2151646284177755,11.047619047619047,6.0,1.8216995048240354,-1.2413820634811046,-3.9775588575136283,-0.7439920184573091,-3.9775588575136283,2.1022227812207848,0.09523809523809523,0.0,0.0,0.5714285714285714,0.42857142857142855,0.0,0.0,-0.11672092268158707,-0.08633113408323789
REUSED_TEMPORAL_TEST,EXIT_R1,1.0,21,7,14,0.2857142857142857,-0.017667734134586294,-0.011324406651150264,2.021400340018669e-05,-0.3151815148249598,-0.3151823708469962,6.857142857142857,5.0,1.2422641713890314,-1.2520954669389748,-4.144796050100903,-0.7439920184573091,-4.144796050100903,1.8667618721166284,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.17893604490947324,-0.16593770688723586
REUSED_TEMPORAL_TEST,EXIT_R1,2.0,21,7,14,0.0,-0.019667734134586296,-0.013324406651150264,0.0,-0.3438841788593042,-0.34257014092848503,6.857142857142857,5.0,1.2422641713890314,-1.2520954669389748,-4.144796050100903,-0.7439920184573091,-4.144796050100903,1.8667618721166284,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.19069055220411402,-0.1892893096360181
REUSED_TEMPORAL_TEST,EXIT_R1,3.0,21,7,14,0.0,-0.021667734134586298,-0.015324406651150264,0.0,-0.37143884317035425,-0.3689152931990338,6.857142857142857,5.0,1.2422641713890314,-1.2520954669389748,-4.144796050100903,-0.7439920184573091,-4.144796050100903,1.8667618721166284,0.14285714285714285,0.0,0.0,1.0,0.0,0.0,0.42857142857142855,-0.20230053995205888,-0.21203261590289935
REUSED_TEMPORAL_TEST,EXIT_R2,1.0,21,7,14,0.42857142857142855,0.007973832822150109,-0.011324406651150264,1.451317196028226,0.13955982690621171,-0.18085143425136163,7.809523809523809,5.0,1.53521770270765,-1.2852420589090963,-3.978295921205565,-0.7439920184573091,-3.978295921205565,1.4857071895189566,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,-0.0574531306210142,0.2090219212727653
REUSED_TEMPORAL_TEST,EXIT_R2,2.0,21,7,14,0.42857142857142855,0.005973832822150108,-0.013324406651150264,1.3175751375485742,0.09285368243463465,-0.19419547825232553,7.809523809523809,5.0,1.53521770270765,-1.2852420589090963,-3.978295921205565,-0.7439920184573091,-3.978295921205565,1.4857071895189566,0.0,0.0,0.0,0.5714285714285714,0.0,0.42857142857142855,0.0,-0.07070074750150257,0.17599759119186564
