correction_id,direction,start_i,end_i,start_time,end_time,duration_bars,max_depth_pct,min_abs_distance_to_ema27_pct,min_abs_distance_to_ema200_pct,changed_ema27_slope,changed_ema200_slope,bars_to_update_extreme,updated_extreme
386,DOWN_TREND_PULLBACK,1944,1944,2024-05-20 00:00:00+00:00,2024-05-20 00:00:00+00:00,1,0.6849315068493109,0.1491591330463407,1.429578480220529,True,False,1.0,True
387,DOWN_TREND_PULLBACK,1947,1948,2024-05-20 12:00:00+00:00,2024-05-20 16:00:00+00:00,2,4.8169556840076995,0.16778298788163037,1.769205145892138,True,True,17.0,True
388,UP_TREND_PULLBACK,1953,1958,2024-05-21 12:00:00+00:00,2024-05-22 08:00:00+00:00,6,3.7924151696606816,0.21679139946714632,0.6691435047557194,True,False,,False
389,UP_TREND_PULLBACK,1960,1960,2024-05-22 16:00:00+00:00,2024-05-22 16:00:00+00:00,1,0.4133939644481194,0.250109503383126,0.6107331672588856,True,False,2.0,True
390,UP_TREND_PULLBACK,1963,1965,2024-05-23 04:00:00+00:00,2024-05-23 12:00:00+00:00,3,3.861955628594902,0.3175304595466553,1.2477962989727656,True,True,,False
391,DOWN_TREND_PULLBACK,1970,1970,2024-05-24 08:00:00+00:00,2024-05-24 08:00:00+00:00,1,0.4983748645720409,2.696467345634954,3.0241677708948558,False,False,,False
392,DOWN_TREND_PULLBACK,1972,1972,2024-05-24 16:00:00+00:00,2024-05-24 16:00:00+00:00,1,0.4139433551198164,2.8368395491450245,3.5574212595838643,False,False,13.0,True
393,DOWN_TREND_PULLBACK,1974,1975,2024-05-25 00:00:00+00:00,2024-05-25 04:00:00+00:00,2,0.5216257335361907,1.9737075229785992,3.1246126792215523,False,False,2.0,True
394,DOWN_TREND_PULLBACK,1978,1979,2024-05-25 16:00:00+00:00,2024-05-25 20:00:00+00:00,2,0.5655862519034134,1.4300274399663098,3.0345897504212225,False,False,6.0,True
395,DOWN_TREND_PULLBACK,1981,1981,2024-05-26 04:00:00+00:00,2024-05-26 04:00:00+00:00,1,0.1520086862106359,1.4287814898311169,3.2013217893599717,False,False,1.0,True
396,DOWN_TREND_PULLBACK,1986,1986,2024-05-27 00:00:00+00:00,2024-05-27 00:00:00+00:00,1,0.895001091464744,0.6939235237189854,2.82720004197173,False,False,7.0,True
397,DOWN_TREND_PULLBACK,1988,1989,2024-05-27 08:00:00+00:00,2024-05-27 12:00:00+00:00,2,2.898234909566362,0.7320076860241765,0.6540005022600669,True,False,4.0,True
398,DOWN_TREND_PULLBACK,1991,1991,2024-05-27 20:00:00+00:00,2024-05-27 20:00:00+00:00,1,0.7963839862247054,0.6201472041389818,1.4381840840724196,True,False,1.0,True
399,DOWN_TREND_PULLBACK,1994,1994,2024-05-28 08:00:00+00:00,2024-05-28 08:00:00+00:00,1,0.9220636663007643,0.9416860163883675,3.1491778192079685,False,False,1.0,True
400,DOWN_TREND_PULLBACK,1998,1998,2024-05-29 00:00:00+00:00,2024-05-29 00:00:00+00:00,1,0.7648601398601405,0.3422650566764824,2.725160511441656,False,False,2.0,True
401,DOWN_TREND_PULLBACK,2000,2000,2024-05-29 08:00:00+00:00,2024-05-29 08:00:00+00:00,1,0.21777003484320578,0.4488990187540576,2.8569351542399075,False,False,1.0,True
402,DOWN_TREND_PULLBACK,2004,2004,2024-05-30 00:00:00+00:00,2024-05-30 00:00:00+00:00,1,0.7092198581560364,1.2161610417777107,3.919691612616258,False,False,1.0,True
