validation,fold_group,model,feature,coefficient
group_oof,M11,Model 2,ema27_ema200_distance_change_last20,0.16226410604587435
group_oof,M11,Model 2,price_between_ema27_ema200,-1.0248284864710075
group_oof,M11,Model 2,ema27_turning_against_previous_state,0.24194388153660895
group_oof,M12,Model 2,price_minus_ema27_atr,0.3337986804338818
group_oof,M12,Model 2,ema27_slope_5,-0.2746972896224828
group_oof,M12,Model 2,ema27_slope_10,-0.09065148593174083
group_oof,M12,Model 2,ema27_slope_change,-0.6319667220909783
group_oof,M12,Model 2,fraction_last10_above_ema27,1.0195693300754365
group_oof,M12,Model 2,number_of_ema27_crosses_last20,0.3608832338181815
group_oof,M12,Model 2,distance_change_to_ema27_last10,0.6428201862130113
group_oof,M12,Model 2,price_minus_ema200_atr,0.05253992157905168
group_oof,M12,Model 2,ema200_slope_10,-0.22058951050383524
group_oof,M12,Model 2,ema200_slope_30,-0.27405287429646913
group_oof,M12,Model 2,fraction_last30_above_ema200,-0.7196318469250478
group_oof,M12,Model 2,number_of_ema200_crosses_last50,-1.3551817748816801
group_oof,M12,Model 2,distance_change_to_ema200_last20,-0.3314492373877684
group_oof,M12,Model 2,ema27_minus_ema200_atr,-0.23265417469843386
group_oof,M12,Model 2,ema27_above_ema200,0.2328267118274251
group_oof,M12,Model 2,ema27_ema200_distance_change_last20,0.13280239767015706
group_oof,M12,Model 2,price_between_ema27_ema200,-0.9240281891600401
group_oof,M12,Model 2,ema27_turning_against_previous_state,0.30769965517803427
group_oof,M13,Model 2,price_minus_ema27_atr,0.311047368750753
group_oof,M13,Model 2,ema27_slope_5,-0.2817381158638482
group_oof,M13,Model 2,ema27_slope_10,-0.07283216307112528
group_oof,M13,Model 2,ema27_slope_change,-0.7050314456793741
group_oof,M13,Model 2,fraction_last10_above_ema27,1.042147349722604
group_oof,M13,Model 2,number_of_ema27_crosses_last20,0.30488237010474695
group_oof,M13,Model 2,distance_change_to_ema27_last10,0.7221125728232988
group_oof,M13,Model 2,price_minus_ema200_atr,0.028068716689448017
group_oof,M13,Model 2,ema200_slope_10,-0.22875884114196982
group_oof,M13,Model 2,ema200_slope_30,-0.40084418181432424
group_oof,M13,Model 2,fraction_last30_above_ema200,-0.6601502423217122
group_oof,M13,Model 2,number_of_ema200_crosses_last50,-1.2745689792276405
group_oof,M13,Model 2,distance_change_to_ema200_last20,-0.22864894156966623
group_oof,M13,Model 2,ema27_minus_ema200_atr,-0.24657849249047242
group_oof,M13,Model 2,ema27_above_ema200,0.45392966115312877
group_oof,M13,Model 2,ema27_ema200_distance_change_last20,0.06206621299404954
group_oof,M13,Model 2,price_between_ema27_ema200,-0.9523131087592104
group_oof,M13,Model 2,ema27_turning_against_previous_state,0.3380990125808838
group_oof,M14,Model 2,price_minus_ema27_atr,0.3022365233573505
group_oof,M14,Model 2,ema27_slope_5,-0.1590926171152862
group_oof,M14,Model 2,ema27_slope_10,-0.0029894557855649545
group_oof,M14,Model 2,ema27_slope_change,-0.6128754242593112
group_oof,M14,Model 2,fraction_last10_above_ema27,1.1105707719715945
group_oof,M14,Model 2,number_of_ema27_crosses_last20,0.3169304654741747
group_oof,M14,Model 2,distance_change_to_ema27_last10,0.7401297913227349
group_oof,M14,Model 2,price_minus_ema200_atr,-0.05834599421366157
group_oof,M14,Model 2,ema200_slope_10,-0.2803998110991064
group_oof,M14,Model 2,ema200_slope_30,-0.4870868996717399
group_oof,M14,Model 2,fraction_last30_above_ema200,-0.6704253529250582
group_oof,M14,Model 2,number_of_ema200_crosses_last50,-1.147067696300647
group_oof,M14,Model 2,distance_change_to_ema200_last20,-0.18734337574095314
group_oof,M14,Model 2,ema27_minus_ema200_atr,-0.3379722609401933
group_oof,M14,Model 2,ema27_above_ema200,0.4212569109794564
group_oof,M14,Model 2,ema27_ema200_distance_change_last20,0.06711962035249718
group_oof,M14,Model 2,price_between_ema27_ema200,-1.0373437388370221
group_oof,M14,Model 2,ema27_turning_against_previous_state,0.2804499409892398
group_oof,M15,Model 2,price_minus_ema27_atr,0.3108371473304339
group_oof,M15,Model 2,ema27_slope_5,-0.2608003439979966
group_oof,M15,Model 2,ema27_slope_10,-0.10319429928366088
group_oof,M15,Model 2,ema27_slope_change,-0.5580200651684165
group_oof,M15,Model 2,fraction_last10_above_ema27,1.071909597329112
group_oof,M15,Model 2,number_of_ema27_crosses_last20,0.23080532672024584
group_oof,M15,Model 2,distance_change_to_ema27_last10,0.749752616546075
group_oof,M15,Model 2,price_minus_ema200_atr,0.0026753938549497294
group_oof,M15,Model 2,ema200_slope_10,-0.27530316486452494
group_oof,M15,Model 2,ema200_slope_30,-0.42235114371602156
group_oof,M15,Model 2,fraction_last30_above_ema200,-0.4548699202420042
group_oof,M15,Model 2,number_of_ema200_crosses_last50,-1.3000463318362994
group_oof,M15,Model 2,distance_change_to_ema200_last20,-0.167251091785972
group_oof,M15,Model 2,ema27_minus_ema200_atr,-0.288359336247292
group_oof,M15,Model 2,ema27_above_ema200,0.2610910269879449
group_oof,M15,Model 2,ema27_ema200_distance_change_last20,0.008936754480091938
group_oof,M15,Model 2,price_between_ema27_ema200,-1.0272915837173062
group_oof,M15,Model 2,ema27_turning_against_previous_state,0.33494944490318984
group_oof,M01,Model 3,pre_net_return_atr,0.37259172495690424
group_oof,M01,Model 3,price_minus_ema27_atr,0.19474744654788817
group_oof,M01,Model 3,ema27_slope_5,-0.2873126015841439
group_oof,M01,Model 3,ema27_slope_10,-0.0841208441254884
group_oof,M01,Model 3,ema27_slope_change,-0.6854482271828142
group_oof,M01,Model 3,fraction_last10_above_ema27,1.0329863268342394
group_oof,M01,Model 3,number_of_ema27_crosses_last20,0.2882863444236989
group_oof,M01,Model 3,distance_change_to_ema27_last10,0.5964786011103809
group_oof,M01,Model 3,price_minus_ema200_atr,-0.015158118127714492
group_oof,M01,Model 3,ema200_slope_10,-0.2109159063967817
group_oof,M01,Model 3,ema200_slope_30,-0.34797179088421226
group_oof,M01,Model 3,fraction_last30_above_ema200,-1.116987154265003
group_oof,M01,Model 3,number_of_ema200_crosses_last50,-1.5059200632188112
group_oof,M01,Model 3,distance_change_to_ema200_last20,-0.19530429603043287
