mapping,factor,representation,family,bin,support,up_support,down_support,third_1,third_2,third_3,concentration_flag
3m->15m,1.2,HYBRID_ORIGIN,efficiency,"[0.50,0.75)",2132,1139,993,723,685,724,NO
3m->15m,1.2,HYBRID_ORIGIN,efficiency,>=0.75,35,25,10,12,13,10,NO
3m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q1,1873,955,918,587,648,638,NO
3m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q2,1867,940,927,654,611,602,NO
3m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q3,1880,929,951,656,606,618,NO
3m->15m,1.2,HYBRID_ORIGIN,displacement_atr,Q4,1875,937,938,602,630,643,NO
3m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q1,1873,930,943,616,631,626,NO
3m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q2,1868,910,958,605,625,638,NO
3m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q3,1879,943,936,662,615,602,NO
3m->15m,1.2,HYBRID_ORIGIN,boundary_distance_atr,Q4,1875,978,897,616,624,635,NO
