entry_variant,signal_time,entry_time,direction,scope,executed,blocked,block_reason,move_id,zone,signal_number_in_move
ENTRY_T1,2023-11-19 12:00:00,2023-11-19 16:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,62.0
ENTRY_T2,2023-11-19 12:00:00,2023-11-19 16:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,63.0
ENTRY_T4,2023-11-19 12:00:00,2023-11-19 16:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,64.0
ENTRY_T3,2023-11-19 16:00:00,2023-11-19 20:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK,M01,ZONE_4_MATURE_MOVE,65.0
ENTRY_T2,2023-11-19 20:00:00,2023-11-20 00:00:00,LONG,DEVELOPMENT,False,False,,M01,ZONE_4_MATURE_MOVE,66.0
ENTRY_T1,2023-11-21 08:00:00,2023-11-21 12:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,67.0
ENTRY_T1,2023-11-22 20:00:00,2023-11-23 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,68.0
ENTRY_T2,2023-11-22 20:00:00,2023-11-23 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,69.0
ENTRY_T1,2023-11-23 00:00:00,2023-11-23 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,70.0
ENTRY_T1,2023-11-23 04:00:00,2023-11-23 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,71.0
ENTRY_T2,2023-11-23 04:00:00,2023-11-23 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,72.0
ENTRY_T4,2023-11-23 04:00:00,2023-11-23 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,73.0
ENTRY_T1,2023-11-23 08:00:00,2023-11-23 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,74.0
ENTRY_T2,2023-11-23 08:00:00,2023-11-23 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,75.0
ENTRY_T4,2023-11-23 08:00:00,2023-11-23 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,76.0
ENTRY_T1,2023-11-23 12:00:00,2023-11-23 16:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,77.0
ENTRY_T1,2023-11-23 16:00:00,2023-11-23 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,78.0
ENTRY_T2,2023-11-23 16:00:00,2023-11-23 20:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,79.0
ENTRY_T2,2023-11-24 12:00:00,2023-11-24 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,80.0
ENTRY_T4,2023-11-24 12:00:00,2023-11-24 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,81.0
ENTRY_T1,2023-11-24 16:00:00,2023-11-24 20:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_4_MATURE_MOVE,82.0
ENTRY_T1,2023-11-24 20:00:00,2023-11-25 00:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,83.0
ENTRY_T2,2023-11-25 04:00:00,2023-11-25 08:00:00,LONG,DEVELOPMENT,True,False,,M01,ZONE_4_MATURE_MOVE,84.0
ENTRY_A,2023-11-26 20:00:00,2023-11-27 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,85.0
ENTRY_T1,2023-11-26 20:00:00,2023-11-27 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,86.0
ENTRY_T2,2023-11-26 20:00:00,2023-11-27 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,87.0
ENTRY_T1,2023-11-28 20:00:00,2023-11-29 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,88.0
ENTRY_T1,2023-11-29 00:00:00,2023-11-29 04:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,89.0
ENTRY_T1,2023-11-29 04:00:00,2023-11-29 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,90.0
ENTRY_T2,2023-11-29 04:00:00,2023-11-29 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,91.0
ENTRY_T4,2023-11-29 04:00:00,2023-11-29 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,92.0
ENTRY_T1,2023-11-29 08:00:00,2023-11-29 12:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,93.0
ENTRY_T1,2023-12-01 12:00:00,2023-12-01 16:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,94.0
ENTRY_T3,2023-12-01 16:00:00,2023-12-01 20:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,95.0
ENTRY_T1,2023-12-01 20:00:00,2023-12-02 00:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,96.0
ENTRY_T3,2023-12-02 00:00:00,2023-12-02 04:00:00,LONG,DEVELOPMENT,False,True,LATE_ENTRY_BLOCK|CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,97.0
ENTRY_T2,2023-12-02 04:00:00,2023-12-02 08:00:00,LONG,DEVELOPMENT,False,True,CHOP_BLOCK,M01,ZONE_5_LATE_MOVE,98.0
