dt,backbone_state,direction,updates_directional_extreme_h5,forward_mfe_pct_h5,forward_mae_pct_h5,updates_directional_extreme_h10,forward_mfe_pct_h10,forward_mae_pct_h10,updates_directional_extreme_h20,forward_mfe_pct_h20,forward_mae_pct_h20
2024-03-21 04:00:00,1,SHORT,1.0,2.0763987953716914,-2.7738151846568333,1.0,5.103819939768585,-2.7738151846568333,1.0,5.103819939768585,-2.7738151846568333
2024-03-21 08:00:00,1,SHORT,1.0,2.262300268944784,-2.578705900965034,1.0,5.283974054738172,-2.578705900965034,1.0,5.283974054738172,-2.578705900965034
2024-03-21 12:00:00,1,SHORT,1.0,3.0817610062893177,-1.9496855345911897,1.0,5.864779874213837,-1.9496855345911897,1.0,5.864779874213837,-1.9496855345911897
2024-03-21 16:00:00,1,SHORT,1.0,5.343873517786553,-1.6126482213438893,1.0,5.343873517786553,-1.6126482213438893,1.0,5.343873517786553,-2.4822134387351853
2024-03-21 20:00:00,1,SHORT,1.0,5.238999683444131,-1.7252295030072842,1.0,5.238999683444131,-1.7252295030072842,1.0,5.238999683444131,-3.782842671731548
2024-03-22 00:00:00,1,SHORT,1.0,5.642237982663506,-1.2923561859732224,1.0,5.642237982663506,-1.2923561859732224,1.0,5.642237982663506,-3.3412135539795114
2024-03-22 04:00:00,1,SHORT,1.0,6.423882463269775,-0.453266645826823,1.0,6.423882463269775,-0.453266645826823,1.0,6.423882463269775,-3.829321663019688
2024-03-22 08:00:00,1,SHORT,1.0,3.2169414807630177,-2.020691884901383,1.0,3.2169414807630177,-3.362431296475902,1.0,3.2169414807630177,-8.050436469447131
2024-03-22 12:00:00,1,SHORT,0.0,2.8969088849328415,-2.2819226412040785,0.0,2.8969088849328415,-3.479527431623234,0.0,2.8969088849328415,-8.172843502184818
2024-03-22 16:00:00,1,SHORT,1.0,2.136682433534497,-4.289675419996737,1.0,2.136682433534497,-4.452780949274179,1.0,2.136682433534497,-9.019735769042574
2024-03-22 20:00:00,1,SHORT,0.0,0.7157963234098048,-4.0182202700504215,0.0,0.7157963234098048,-4.994306165609232,0.0,0.7157963234098048,-10.736944851146891
2024-03-23 00:00:00,1,SHORT,0.0,0.09726049602853702,-3.64726860106986,0.0,0.09726049602853702,-4.619873561355158,0.0,0.09726049602853702,-10.82833522450964
2024-03-23 04:00:00,1,SHORT,0.0,0.8444869343531043,-1.8801784576163036,0.0,0.8444869343531043,-3.28234544295729,0.0,0.8444869343531043,-8.938814531548744
2024-03-23 08:00:00,1,SHORT,1.0,1.2378987462307616,-1.4759561974289757,1.0,1.2378987462307616,-2.8725599111252187,1.0,1.2378987462307616,-8.506586256149815
2024-03-23 12:00:00,1,SHORT,1.0,1.6903633491311285,-1.169036334913106,1.0,1.6903633491311285,-3.5860979462875107,1.0,1.6903633491311285,-8.009478672985777
