model,k,seed,silhouette,inertia,min_cluster_fraction,degenerate,cluster_1_size,state_1_median_dwell,cluster_2_size,state_2_median_dwell,cluster_3_size,state_3_median_dwell,cluster_4_size,state_4_median_dwell,cluster_5_size,state_5_median_dwell,cluster_6_size,state_6_median_dwell
MODEL_RAW,5,120,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,121,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,122,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,123,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,124,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,5,125,0.3376473503776284,8056.196507227893,0.02197802197802198,True,1653,13.0,644,13.0,735.0,13.0,72.0,13.0,172.0,33.5,,
MODEL_RAW,5,126,0.3378098590450594,8056.293763319796,0.02197802197802198,True,1655,12.0,645,13.0,731.0,13.0,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,127,0.3378098590450594,8056.320152545192,0.02197802197802198,True,1649,12.0,652,13.0,730.0,12.5,72.0,13.0,173.0,33.5,,
MODEL_RAW,5,128,0.338619233543749,8056.208826818015,0.02197802197802198,True,1659,12.0,644,13.0,729.0,12.5,72.0,13.0,172.0,33.5,,
MODEL_RAW,5,129,0.3376473503776284,8055.934363125246,0.021672771672771672,True,1653,13.0,644,13.0,735.0,13.0,71.0,12.0,173.0,34.0,,
MODEL_RAW,6,100,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,101,0.3727233711441261,6847.072952292323,0.021672771672771672,True,1651,18.0,300,9.5,631.0,12.0,453.0,16.0,71.0,12.0,170.0,33.0
MODEL_RAW,6,102,0.3723753254469408,6847.477635708108,0.02197802197802198,True,1643,18.0,299,9.5,629.0,12.0,462.0,15.0,72.0,13.0,171.0,33.0
MODEL_RAW,6,103,0.3114756556149852,7247.20882736427,0.020451770451770452,True,1493,11.0,770,13.0,680.0,12.0,162.0,17.0,67.0,11.0,104.0,7.0
