instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id,balance_duration_bars,balance_range_atr,balance_body_atr,compression_ratio,directional_drift_atr,boundary_distance_change_atr,reassertion_setup_distance_atr,balance_end_time,gate_DURATION_1,gate_DURATION_2,gate_DURATION_3,gate_DURATION_4PLUS,gate_RANGE_COMPRESSION_050,gate_RANGE_COMPRESSION_075,gate_RANGE_COMPRESSION_100,gate_OVERLAP_025,gate_OVERLAP_050,gate_OVERLAP_075,gate_LOW_DRIFT_010,gate_LOW_DRIFT_025,gate_LOW_DRIFT_050,gate_BOUNDARY_RECOVERY_000,gate_BOUNDARY_RECOVERY_010,gate_BOUNDARY_RECOVERY_025,gate_COMPACT_BALANCE
ADAUSDT,1H_FALLBACK,DOWN,2023-08-13 16:00:00,2023-08-15 00:00:00,2023-08-15 12:00:00,2023-08-15 16:00:00,2023-08-15 16:00:00,0.2936,1,1,1,1,0,1,1.846457,-0.571137,0.615385,1.0,0.333333,8,4,2.5,0.5,1.0,0,,ADA_0274,1,0.7247956403269769,0.11444141689371981,0.6785714285714272,0.11444141689371981,0.11444141689371978,-2.098092643051763,2023-08-15 12:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 12:00:00,2023-08-16 20:00:00,2023-08-17 08:00:00,2023-08-17 12:00:00,2023-08-17 12:00:00,0.2898,1,1,1,1,0,1,1.206591,0.177866,0.290323,1.0,0.0,8,4,0.700535,0.5,1.0,0,,ADA_0285,1,0.4765957446808533,0.23829787234042113,0.18320610687023,0.23829787234042113,0.238297872340421,-2.8198581560283644,2023-08-17 08:00:00,1,0,0,0,1,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,DOWN,2023-08-15 20:00:00,2023-08-17 04:00:00,2023-08-17 16:00:00,2023-08-17 20:00:00,2023-08-17 20:00:00,0.2844,1,1,0,1,0,1,2.201183,-0.464896,0.215385,1.0,0.666667,8,4,2.131579,0.5,1.0,0,,ADA_0287,1,1.2651605231866807,0.8323424494649228,0.730769230769229,-0.8323424494649228,-0.8323424494649228,-1.747919143876338,2023-08-17 16:00:00,1,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-08-18 08:00:00,2023-08-19 16:00:00,2023-08-20 04:00:00,2023-08-20 08:00:00,2023-08-20 08:00:00,0.2583,1,1,1,1,1,1,0.570033,0.426729,0.684211,1.0,0.666667,8,4,0.513043,0.5,1.0,0,,ADA_0302,1,0.5582137161084526,0.20095693779904542,0.5813953488372063,-0.20095693779904542,-0.20095693779904544,-1.6299840510366868,2023-08-20 04:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,0,0,0,1
ADAUSDT,1H_FALLBACK,UP,2023-08-18 16:00:00,2023-08-20 00:00:00,2023-08-20 12:00:00,2023-08-20 16:00:00,2023-08-20 16:00:00,0.2583,1,1,1,1,0,1,0.744681,-0.525841,0.609756,1.0,0.333333,8,4,0.73913,0.5,1.0,0,,ADA_0304,1,0.8499999999999899,0.17499999999999463,0.5762711864406693,0.17499999999999463,0.1749999999999945,-2.65,2023-08-20 12:00:00,1,0,0,0,0,1,1,1,1,1,0,1,1,1,1,0,1
ADAUSDT,1H_FALLBACK,UP,2023-08-26 12:00:00,2023-08-27 20:00:00,2023-08-28 08:00:00,2023-08-28 12:00:00,2023-08-28 12:00:00,0.2582,1,1,1,1,0,1,1.967568,1.314143,0.75,1.0,0.333333,8,4,1.309859,0.5,1.0,0,,ADA_0351,1,1.3207547169811336,0.2641509433962463,0.5454545454545454,0.2641509433962463,0.26415094339624634,-0.9685534591195126,2023-08-28 08:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,1,1,1,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 12:00:00,2023-08-30 20:00:00,2023-08-31 08:00:00,2023-08-31 12:00:00,2023-08-31 12:00:00,0.2802,1,1,1,1,0,1,1.200553,-0.020196,0.076923,1.0,0.333333,8,4,0.485,0.5,1.0,0,,ADA_0369,1,0.5667166416791549,0.020989505247385604,0.9642857142856988,0.020989505247385604,0.02098950524738541,-3.1274362818590684,2023-08-31 08:00:00,1,0,0,0,0,0,1,1,1,1,1,1,1,1,0,0,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-29 16:00:00,2023-08-31 00:00:00,2023-08-31 12:00:00,2023-08-31 16:00:00,2023-08-31 16:00:00,0.279,1,1,1,1,0,1,0.791457,-1.103604,0.823529,1.0,0.0,8,4,0.945946,0.5,1.0,0,,ADA_0370,1,1.6459197786998598,1.2005532503457759,2.8333333333333335,1.2005532503457759,1.2005532503457759,-3.8533886583679093,2023-08-31 12:00:00,1,0,0,0,0,0,0,1,1,1,0,0,0,1,1,1,0
ADAUSDT,1H_FALLBACK,DOWN,2023-08-30 12:00:00,2023-08-31 20:00:00,2023-09-01 08:00:00,2023-09-01 12:00:00,2023-09-01 12:00:00,0.2667,1,1,1,1,1,1,0.684783,0.66917,0.875,1.0,1.0,8,4,0.434286,0.5,1.0,0,,ADA_0375,1,0.7313432835820959,0.5485074626865647,0.4000000000000032,-0.5485074626865647,-0.5485074626865649,-2.220149253731345,2023-09-01 08:00:00,1,0,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0
ADAUSDT,1H_FALLBACK,UP,2023-09-04 16:00:00,2023-09-06 00:00:00,2023-09-06 12:00:00,2023-09-06 16:00:00,2023-09-06 16:00:00,0.2532,1,1,1,1,1,1,0.538462,1.30742,0.948718,1.0,1.0,8,4,1.596491,0.5,1.0,0,,ADA_0406,1,1.1481481481481466,0.2962962962963052,0.7045454545454503,-0.2962962962963052,-0.2962962962963053,-0.7037037037037094,2023-09-06 12:00:00,1,0,0,0,0,1,1,1,1,1,0,0,1,0,0,0,0
