instrument,child_scale,parent_direction,parent_start,counter_start,balance_start,reassertion_time,end_time,parent_invalidation_boundary,parent_intact,child_counter_motion,counter_progress_decay,balance_or_overlap,failed_counter_extension,parent_reassertion,reassertion_atr,counter_displacement_atr,counter_efficiency,overlap_ratio,alternation_rate,parent_elapsed_bars,child_elapsed_bars,child_parent_amplitude_ratio,child_parent_duration_ratio,parameter_factor,diagnostic_flag,diagnostic_reason,interval_id
ADAUSDT,1H_FALLBACK,DOWN,2023-10-06 04:00:00,2023-10-07 12:00:00,2023-10-08 00:00:00,2023-10-08 04:00:00,2023-10-08 04:00:00,0.267,1,1,1,1,1,1,0.819672,-0.030095,0.025641,0.680906,0.666667,8,4,0.447917,0.5,1.0,0,,ADA_0595
ADAUSDT,1H_FALLBACK,DOWN,2023-10-07 08:00:00,2023-10-08 16:00:00,2023-10-09 04:00:00,2023-10-09 08:00:00,2023-10-09 08:00:00,0.2622,1,1,1,1,0,1,2.105263,0.11248,0.176471,0.466246,0.666667,8,4,1.217391,0.5,1.0,0,,ADA_0602
ADAUSDT,1H_FALLBACK,DOWN,2023-10-08 08:00:00,2023-10-09 16:00:00,2023-10-10 04:00:00,2023-10-10 08:00:00,2023-10-10 08:00:00,0.2586,1,1,1,1,1,1,1.021898,0.0,0.0,0.69188,0.666667,8,4,0.607143,0.5,1.0,0,,ADA_0608
ADAUSDT,1H_FALLBACK,DOWN,2023-10-08 12:00:00,2023-10-09 20:00:00,2023-10-10 08:00:00,2023-10-10 12:00:00,2023-10-10 12:00:00,0.2586,1,1,1,1,0,1,0.553086,-0.640569,0.428571,0.540094,0.333333,8,4,0.612245,0.5,1.0,0,,ADA_0609
ADAUSDT,1H_FALLBACK,DOWN,2023-10-09 00:00:00,2023-10-10 08:00:00,2023-10-10 20:00:00,2023-10-11 00:00:00,2023-10-11 00:00:00,0.2586,1,1,1,1,1,1,1.048458,-0.166746,0.185185,0.588712,0.666667,8,4,0.928571,0.5,1.0,0,,ADA_0612
ADAUSDT,1H_FALLBACK,DOWN,2023-10-10 00:00:00,2023-10-11 08:00:00,2023-10-11 20:00:00,2023-10-12 00:00:00,2023-10-12 00:00:00,0.2538,1,1,1,1,1,1,0.622222,0.189959,0.25,0.793636,0.666667,8,4,0.450549,0.5,1.0,0,,ADA_0618
ADAUSDT,1H_FALLBACK,UP,2023-10-12 08:00:00,2023-10-13 16:00:00,2023-10-14 04:00:00,2023-10-14 08:00:00,2023-10-14 08:00:00,0.2422,1,1,0,1,0,1,0.56875,0.379747,0.473684,0.750627,1.0,8,4,0.859649,0.5,1.0,0,,ADA_0632
ADAUSDT,1H_FALLBACK,UP,2023-10-12 12:00:00,2023-10-13 20:00:00,2023-10-14 08:00:00,2023-10-14 12:00:00,2023-10-14 12:00:00,0.2422,1,1,1,1,0,1,0.529968,-0.256098,0.2,0.709704,0.666667,8,4,0.859649,0.5,1.0,0,,ADA_0633
ADAUSDT,1H_FALLBACK,UP,2023-10-14 00:00:00,2023-10-15 08:00:00,2023-10-15 20:00:00,2023-10-16 00:00:00,2023-10-16 00:00:00,0.2449,1,1,1,1,0,1,0.639004,-0.401639,0.411765,0.51622,0.333333,8,4,1.125,0.5,1.0,0,,ADA_0642
ADAUSDT,1H_FALLBACK,DOWN,2023-10-16 12:00:00,2023-10-17 20:00:00,2023-10-18 08:00:00,2023-10-18 12:00:00,2023-10-18 12:00:00,0.26,1,1,1,1,1,1,0.581907,0.13289,0.333333,0.564732,0.666667,8,4,0.24026,0.5,1.0,0,,ADA_0657
ADAUSDT,1H_FALLBACK,DOWN,2024-01-03 00:00:00,2024-01-04 08:00:00,2024-01-04 20:00:00,2024-01-05 00:00:00,2024-01-05 00:00:00,0.6188,1,1,1,1,0,1,0.776808,0.555923,0.560748,0.634884,0.333333,8,4,0.367003,0.5,1.0,0,,ADA_1128
ADAUSDT,1H_FALLBACK,DOWN,2024-01-04 04:00:00,2024-01-05 12:00:00,2024-01-06 00:00:00,2024-01-06 04:00:00,2024-01-06 04:00:00,0.5791,1,1,1,1,0,1,0.937994,0.175439,0.147826,0.608995,0.666667,8,4,0.892202,0.5,1.0,0,,ADA_1135
ADAUSDT,1H_FALLBACK,DOWN,2024-01-05 20:00:00,2024-01-07 04:00:00,2024-01-07 16:00:00,2024-01-07 20:00:00,2024-01-07 20:00:00,0.5429,1,1,1,1,1,1,1.577268,-0.664557,0.631579,0.565831,0.666667,8,4,1.171745,0.5,1.0,0,,ADA_1145
ADAUSDT,1H_FALLBACK,DOWN,2024-01-06 00:00:00,2024-01-07 08:00:00,2024-01-07 20:00:00,2024-01-08 00:00:00,2024-01-08 00:00:00,0.5429,1,1,1,1,0,1,1.278966,-1.784976,0.822222,0.497573,0.666667,8,4,1.819945,0.5,1.0,0,,ADA_1146
ADAUSDT,1H_FALLBACK,DOWN,2024-01-12 16:00:00,2024-01-14 00:00:00,2024-01-14 12:00:00,2024-01-14 16:00:00,2024-01-14 16:00:00,0.571,1,1,1,1,1,1,0.693,0.100661,0.230769,0.723834,1.0,8,4,0.359909,0.5,1.0,0,,ADA_1186
ADAUSDT,1H_FALLBACK,DOWN,2024-01-12 20:00:00,2024-01-14 04:00:00,2024-01-14 16:00:00,2024-01-14 20:00:00,2024-01-14 20:00:00,0.5658,1,1,1,1,0,1,0.770109,-0.765216,0.810219,0.622778,0.666667,8,4,0.69509,0.5,1.0,0,,ADA_1187
ADAUSDT,1H_FALLBACK,DOWN,2024-01-13 12:00:00,2024-01-14 20:00:00,2024-01-15 08:00:00,2024-01-15 12:00:00,2024-01-15 12:00:00,0.5526,1,1,1,1,0,1,1.179487,1.000383,0.788732,0.727737,0.333333,8,4,1.005495,0.5,1.0,0,,ADA_1191
ADAUSDT,1H_FALLBACK,DOWN,2024-01-13 20:00:00,2024-01-15 04:00:00,2024-01-15 16:00:00,2024-01-15 20:00:00,2024-01-15 20:00:00,0.5516,1,1,0,1,0,1,0.615697,-0.278686,0.130841,0.740539,0.666667,8,4,0.70318,0.5,1.0,0,,ADA_1193
ADAUSDT,1H_FALLBACK,DOWN,2024-01-16 00:00:00,2024-01-17 08:00:00,2024-01-17 20:00:00,2024-01-18 00:00:00,2024-01-18 00:00:00,0.5482,1,1,1,1,1,1,0.693069,-0.395917,0.518987,0.740163,0.666667,8,4,0.75,0.5,1.0,0,,ADA_1206
ADAUSDT,1H_FALLBACK,DOWN,2024-01-16 08:00:00,2024-01-17 16:00:00,2024-01-18 04:00:00,2024-01-18 08:00:00,2024-01-18 08:00:00,0.5482,1,1,0,1,0,1,0.822917,-0.259852,0.22807,0.760702,1.0,8,4,0.663793,0.5,1.0,0,,ADA_1208
ADAUSDT,1H_FALLBACK,DOWN,2024-01-16 16:00:00,2024-01-18 00:00:00,2024-01-18 12:00:00,2024-01-18 16:00:00,2024-01-18 16:00:00,0.5482,1,1,1,1,1,1,1.822691,-0.088832,0.060403,0.656749,1.0,8,4,1.219331,0.5,1.0,0,,ADA_1210
ADAUSDT,1H_FALLBACK,DOWN,2024-01-17 00:00:00,2024-01-18 08:00:00,2024-01-18 20:00:00,2024-01-19 00:00:00,2024-01-19 00:00:00,0.5395,1,1,0,1,0,1,0.726923,-1.385672,0.538462,0.638363,1.0,8,4,1.788018,0.5,1.0,0,,ADA_1212
