event_id,event_family,side,timestamp,funding_rate,delta_log_oi,z_mad,oi_shock_side,qualification_reason
O036573,OI,OI_EXPANSION_SHOCK,2024-07-15T23:15:00Z,,0.00751830,4.04240635,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036590,OI,OI_EXPANSION_SHOCK,2024-07-16T03:30:00Z,,0.00993991,5.31332266,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036611,OI,OI_EXPANSION_SHOCK,2024-07-16T08:45:00Z,,0.00838735,4.46283011,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036636,OI,OI_EXPANSION_SHOCK,2024-07-16T15:00:00Z,,0.00875458,4.62846218,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036641,OI,OI_EXPANSION_SHOCK,2024-07-16T16:15:00Z,,0.00800015,4.21779546,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036644,OI,OI_CONTRACTION_SHOCK,2024-07-16T17:00:00Z,,-0.01542222,-8.04664372,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036651,OI,OI_CONTRACTION_SHOCK,2024-07-16T18:45:00Z,,-0.00913630,-4.74293217,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036793,OI,OI_CONTRACTION_SHOCK,2024-07-18T06:15:00Z,,-0.00948744,-4.97325249,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036828,OI,OI_EXPANSION_SHOCK,2024-07-18T15:00:00Z,,0.00879946,4.65046880,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O036829,OI,OI_CONTRACTION_SHOCK,2024-07-18T15:15:00Z,,-0.01659351,-8.72087301,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036833,OI,OI_CONTRACTION_SHOCK,2024-07-18T16:15:00Z,,-0.00764701,-4.00569720,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036868,OI,OI_CONTRACTION_SHOCK,2024-07-19T01:00:00Z,,-0.01247022,-6.59664693,OI_CONTRACTION_SHOCK,CAUSAL_30_DAY_MAD
O036929,OI,OI_EXPANSION_SHOCK,2024-07-19T16:15:00Z,,0.01234210,6.61400537,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
O037064,OI,OI_EXPANSION_SHOCK,2024-07-21T02:00:00Z,,0.00786678,4.21132987,OI_EXPANSION_SHOCK,CAUSAL_30_DAY_MAD
