move_id,direction,start_time,window_bars,net_return,abs_path_pct,efficiency_ratio,up_candle_share,down_candle_share,direction_changes,max_directional_run,range_pct,close_position_in_range,avg_body_change_first_to_last_third,avg_true_range_change_first_to_last_third,new_high_count,new_low_count,max_pullback_pct,failed_previous_direction_attempt,last5_directions,last5_bodies,last5_extremes,last5_acceleration,window_start_time,window_end_time,window_bars_available,assigned_state
M09,LONG,2024-10-26 12:00,5,-0.01754385964912269,0.05560511448111803,0.3155080213903723,0.4,0.6,2,2,0.0975319655069878,0.539634146341465,-0.6909090909090949,-0.7359999999999971,1,1,0.03151947665774606,False,DDUUD,0.005500;0.010600;0.005600;0.000800;0.001700,H=0.345500;L=0.312700,false,2024-10-25 16:00,2024-10-26 08:00,5,UNKNOWN
M10,SHORT,2024-12-03 00:00,50,0.22447111472742068,1.1591741253051262,0.19364745108361853,0.54,0.46,25,5,0.37642392188771345,0.8894893272088626,0.009771210676833508,0.04003660489590466,11,2,0.34713481285193776,False,UDUUD,0.002300;0.069000;0.134800;0.011600;0.016200,H=1.244800;L=1.057600,false,2024-11-24 16:00,2024-12-02 20:00,50,CHOP
M10,SHORT,2024-12-03 00:00,30,0.1955312810327707,0.6690168818272091,0.29226658750185575,0.5333333333333333,0.4666666666666667,16,5,0.27179741807348556,0.8505663134819147,1.4099290780141818,0.7807283763277697,11,2,0.2472909425475363,False,UDUUD,0.002300;0.069000;0.134800;0.011600;0.016200,H=1.244800;L=1.057600,false,2024-11-28 00:00,2024-12-02 20:00,30,OPPOSITE_TREND
M10,SHORT,2024-12-03 00:00,20,0.1443916349809885,0.4886882129277562,0.2954678078194905,0.5,0.5,9,5,0.1977186311787072,0.8033653846153849,0.6072131147540951,0.6953875720691864,8,1,0.15979087452471474,False,UDUUD,0.002300;0.069000;0.134800;0.011600;0.016200,H=1.244800;L=1.057600,false,2024-11-29 16:00,2024-12-02 20:00,20,OPPOSITE_TREND
M10,SHORT,2024-12-03 00:00,10,0.12230819427612565,0.30204157732823683,0.40493827160493867,0.7,0.3,5,3,0.17600447469003436,0.7833686440677968,3.2902374670184606,2.6409036860879853,5,0,0.1374102731425375,False,UDUUD,0.002300;0.069000;0.134800;0.011600;0.016200,H=1.244800;L=1.057600,false,2024-12-01 08:00,2024-12-02 20:00,10,OPPOSITE_TREND
M10,SHORT,2024-12-03 00:00,5,0.05355736413756884,0.20267786820687828,0.2642487046632123,0.6,0.4,2,2,0.16382252559726945,0.7815170940170941,6.043478260869658,0.14041745730550437,2,1,0.13635093601564668,False,UDUUD,0.002300;0.069000;0.134800;0.011600;0.016200,H=1.244800;L=1.057600,false,2024-12-02 04:00,2024-12-02 20:00,5,UNKNOWN
M11,LONG,2024-12-20 08:00,50,-0.2142920314849209,0.7815512514371626,0.27418807287541036,0.46,0.54,29,3,0.2968957283098964,0.12421805183199278,0.24615384615384905,0.19564505566470136,1,11,0.24300034566194262,False,DDUUD,0.042800;0.066500;0.004100;0.024500;0.016200,H=0.986400;L=0.846700,false,2024-12-12 00:00,2024-12-20 04:00,50,OPPOSITE_TREND
M11,LONG,2024-12-20 08:00,30,-0.1758812615955474,0.5536178107606677,0.31769436997319056,0.4666666666666667,0.5333333333333333,17,3,0.2551948051948051,0.15158124318429653,0.0867052023121393,0.33849276833291086,3,9,0.20637796702301134,False,DDUUD,0.042800;0.066500;0.004100;0.024500;0.016200,H=0.986400;L=0.846700,false,2024-12-15 08:00,2024-12-20 04:00,30,OPPOSITE_TREND
M11,LONG,2024-12-20 08:00,20,-0.17442616857169416,0.3874175262522074,0.45022787239146056,0.4,0.6,10,3,0.24691013846296817,0.15694392171622112,0.44688644688644574,0.4858834244080166,1,9,0.2026940930190225,False,DDUUD,0.042800;0.066500;0.004100;0.024500;0.016200,H=0.986400;L=0.846700,false,2024-12-17 00:00,2024-12-20 04:00,20,OPPOSITE_TREND
M11,LONG,2024-12-20 08:00,10,-0.11978599029030032,0.21054195977410087,0.5689411764705887,0.5,0.5,4,3,0.21044288120479532,0.1963276836158191,-0.29001584786054013,-0.22494553376906212,0,4,0.13207173288417723,False,DDUUD,0.042800;0.066500;0.004100;0.024500;0.016200,H=0.986400;L=0.846700,false,2024-12-18 16:00,2024-12-20 04:00,10,OPPOSITE_TREND
