symbol,representation,geometry,bin,support_count,support_concentration,distribution_distance,rank_order_agreement,up_support,down_support,third_1_support,third_2_support,third_3_support,paired_rank_contrast,fraction_above_control,distribution_overlap,equal_support_fixed_contrast
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,Q1,105,0.3619047619047619,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,46,59,34,33,38,1.0,1.0,0.4536644343277678,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,Q2,106,0.41509433962264153,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,48,58,32,44,30,1.0,1.0,0.3721039372742125,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,Q3,105,0.3523809523809524,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,45,60,37,36,32,0.9809523809523809,0.9904761904761905,0.3943625252765773,1.0
ADAUSDT,CONFIRMED_DIRECTION_CHANGE,distance_to_boundary_atr,Q4,107,0.38317757009345793,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,53,54,37,29,41,1.0,1.0,0.3921762899128368,0.9813084112149533
ADAUSDT,HYBRID_ORIGIN,age_bars,1-2,129,0.37209302325581395,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,59,70,48,45,36,1.0,1.0,0.3961750415084698,0.9844961240310077
ADAUSDT,HYBRID_ORIGIN,age_bars,3-4,211,0.3696682464454976,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,92,119,62,71,78,0.990521327014218,0.995260663507109,0.4021209118258927,1.0
ADAUSDT,HYBRID_ORIGIN,age_bars,5-8,51,0.39215686274509803,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,22,29,20,14,17,1.0,1.0,0.4385722637959142,1.0
ADAUSDT,HYBRID_ORIGIN,age_bars,9+,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,HYBRID_ORIGIN,displacement_atr,Q1,0,0.0,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,0,0,0,0,0,0.0,0.0,0.0,0.0
ADAUSDT,HYBRID_ORIGIN,displacement_atr,Q2,195,0.3435897435897436,UNAVAILABLE_SINGLE_SYMBOL,UNAVAILABLE_SINGLE_SYMBOL,87,108,67,67,61,1.0,1.0,0.40983055677980734,1.0
